GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
Very difficult,League of Legends,20,1,4,Male,19,Student at college / university,Bachelor (or equivalent),POL,15,28,19
Not difficult at all,League of Legends,8,1,3,Male,24,Employed,Bachelor (or equivalent),DEU,18,17,8
NA,League of Legends,18,1,1,Male,18,Student at school,None,USA,17,1,0
Not difficult at all,League of Legends,30,1,2,Male,25,Student at college / university,Bachelor (or equivalent),AUS,17,7,0
Somewhat difficult,League of Legends,10,1,3,Male,20,Student at college / university,Master (or equivalent),ESP,18,20,7
Somewhat difficult,League of Legends,15,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,22,23,5
Not difficult at all,League of Legends,30,1,1,Male,26,Employed,High school diploma (or equivalent),DEU,20,23,2
Somewhat difficult,League of Legends,5,1,2,Male,18,Student at school,None,DEU,23,7,4
Not difficult at all,League of Legends,7,1,2,Male,23,Employed,Bachelor (or equivalent),USA,25,8,2
Not difficult at all,League of Legends,14,1,1,Male,19,Student at college / university,High school diploma (or equivalent),SVK,19,31,6
Not difficult at all,League of Legends,30,1,1,Male,18,Student at college / university,High school diploma (or equivalent),USA,24,1,2
Extremely difficult,League of Legends,20,1,2,Male,18,Unemployed / between jobs,High school diploma (or equivalent),CZE,10,18,14
Somewhat difficult,League of Legends,15,1,1,Male,24,Employed,High school diploma (or equivalent),DNK,19,40,7
Not difficult at all,League of Legends,25,1,3,Male,20,Employed,None,GBR,17,31,1
Somewhat difficult,League of Legends,2,1,2,Male,18,Student at college / university,High school diploma (or equivalent),BEL,16,30,7
Somewhat difficult,League of Legends,30,1,1,Male,20,Student at school,High school diploma (or equivalent),AUT,20,21,1
Somewhat difficult,League of Legends,20,1,1,Male,18,Student at school,Bachelor (or equivalent),BGR,24,30,1
