GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
Somewhat difficult,League of Legends,16,1,1,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,14,52,12
Very difficult,League of Legends,10,1,3,Male,21,Unemployed / between jobs,Master (or equivalent),FRA,18,43,6
Somewhat difficult,League of Legends,25,1,4,Male,18,Employed,High school diploma (or equivalent),USA,9,60,16
Not difficult at all,League of Legends,24,1,3,Male,23,Employed,High school diploma (or equivalent),RUS,18,NA,3
Somewhat difficult,League of Legends,40,1,2,Male,24,Unemployed / between jobs,High school diploma (or equivalent),USA,11,35,19
Somewhat difficult,League of Legends,20,1,2,Male,19,Student at college / university,Bachelor (or equivalent),USA,15,27,4
Very difficult,League of Legends,78,1,1,Male,19,Unemployed / between jobs,High school diploma (or equivalent),GBR,9,26,11
NA,League of Legends,30,1,4,Male,18,Student at college / university,High school diploma (or equivalent),SVK,29,16,0
Not difficult at all,League of Legends,15,0,1,Female,21,Student at college / university,High school diploma (or equivalent),USA,25,9,7
Not difficult at all,League of Legends,20,1,1,Male,22,Unemployed / between jobs,High school diploma (or equivalent),USA,15,45,21
Not difficult at all,League of Legends,15,1,1,Male,21,Student at college / university,High school diploma (or equivalent),DEU,24,14,1
Somewhat difficult,League of Legends,20,1,1,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,14,25,4
Somewhat difficult,League of Legends,10,1,4,Male,19,Student at college / university,High school diploma (or equivalent),DEU,26,22,13
Not difficult at all,League of Legends,20,1,2,Male,21,Student at college / university,High school diploma (or equivalent),BEL,23,19,2
Extremely difficult,League of Legends,5,1,1,Male,20,Unemployed / between jobs,High school diploma (or equivalent),ISR,7,32,8
Not difficult at all,League of Legends,18,1,1,Female,24,Employed,Bachelor (or equivalent),USA,30,0,1
Not difficult at all,League of Legends,10,1,1,Male,25,Student at college / university,Bachelor (or equivalent),NLD,15,NA,2
Somewhat difficult,League of Legends,40,1,3,Male,18,Student at college / university,High school diploma (or equivalent),USA,29,22,11
NA,League of Legends,21,1,3,Male,18,Student at college / university,High school diploma (or equivalent),SGP,22,29,8
Not difficult at all,League of Legends,30,0,2,Male,21,Student at college / university,High school diploma (or equivalent),DEU,25,8,4
Very difficult,League of Legends,30,1,1,Male,20,Student at college / university,High school diploma (or equivalent),DEU,13,34,2
Somewhat difficult,League of Legends,20,1,4,Male,18,Student at college / university,High school diploma (or equivalent),SWE,26,31,8
Somewhat difficult,League of Legends,35,1,1,Male,32,Unemployed / between jobs,Bachelor (or equivalent),FRA,10,43,5
Somewhat difficult,League of Legends,20,1,3,Male,25,Student at school,High school diploma (or equivalent),USA,11,42,3
Not difficult at all,League of Legends,20,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,35,15,3
Somewhat difficult,League of Legends,25,1,1,Male,18,Student at college / university,Bachelor (or equivalent),FRA,23,40,5
Not difficult at all,League of Legends,20,1,2,Male,21,Employed,High school diploma (or equivalent),CAN,20,0,14
Not difficult at all,League of Legends,14,1,1,Male,30,Student at college / university,Master (or equivalent),NLD,25,21,1
Very difficult,League of Legends,8,1,1,Male,20,Employed,None,USA,12,22,12
Not difficult at all,League of Legends,10,1,1,Male,18,Student at school,None,USA,28,11,2
Not difficult at all,League of Legends,18,1,1,Male,18,Student at school,High school diploma (or equivalent),CAN,21,7,4
Not difficult at all,League of Legends,20,1,3,Male,19,Unemployed / between jobs,High school diploma (or equivalent),CAN,13,24,2
Not difficult at all,League of Legends,14,1,1,Male,26,Employed,High school diploma (or equivalent),USA,22,24,0
Somewhat difficult,League of Legends,40,1,2,Other,19,Student at college / university,High school diploma (or equivalent),NOR,16,27,3
Not difficult at all,League of Legends,14,0,3,Male,20,Student at college / university,High school diploma (or equivalent),USA,26,21,0
Not difficult at all,League of Legends,10,1,2,Male,31,Employed,Bachelor (or equivalent),CAN,27,13,3
Not difficult at all,League of Legends,20,0,3,Male,19,Unemployed / between jobs,None,USA,8,4,7
Somewhat difficult,League of Legends,16,1,2,Male,21,Student at college / university,High school diploma (or equivalent),USA,27,18,6
Not difficult at all,League of Legends,5,1,1,Male,18,Employed,None,CHE,30,7,1
Not difficult at all,League of Legends,10,1,1,Male,18,Student at school,None,USA,33,19,2
Not difficult at all,League of Legends,20,1,1,Male,20,Unemployed / between jobs,High school diploma (or equivalent),GRC,8,19,1
Not difficult at all,League of Legends,21,1,1,Male,20,Student at college / university,None,IRL,22,11,0
Not difficult at all,League of Legends,9,1,2,Female,34,Employed,High school diploma (or equivalent),USA,28,34,2
Somewhat difficult,League of Legends,25,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,22,7,8
Extremely difficult,League of Legends,30,1,1,Male,23,Employed,High school diploma (or equivalent),NLD,15,45,17
NA,League of Legends,10,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,21,0,0
Not difficult at all,League of Legends,7,0,3,Male,22,Employed,None,NOR,25,15,1
Somewhat difficult,League of Legends,60,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,22,53,12
Not difficult at all,League of Legends,20,1,1,Male,18,Student at college / university,High school diploma (or equivalent),GBR,21,29,1
NA,League of Legends,10,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,22,12,0
NA,League of Legends,30,1,4,Male,22,Student at college / university,High school diploma (or equivalent),POL,31,28,0
Very difficult,League of Legends,20,1,1,Male,24,Unemployed / between jobs,Bachelor (or equivalent),PRI,14,42,9
Not difficult at all,League of Legends,10,1,2,Male,22,Employed,High school diploma (or equivalent),USA,15,55,4
Somewhat difficult,League of Legends,16,1,2,Other,24,Student at college / university,High school diploma (or equivalent),USA,15,33,6
Extremely difficult,League of Legends,20,1,1,Female,21,Student at college / university,High school diploma (or equivalent),USA,9,33,16
Somewhat difficult,League of Legends,20,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,13,22,9
Very difficult,League of Legends,20,1,1,Male,27,Unemployed / between jobs,Bachelor (or equivalent),DEU,18,7,9
Somewhat difficult,League of Legends,9,1,3,Male,18,Student at school,None,USA,25,21,4
Somewhat difficult,League of Legends,20,1,2,Male,18,Student at school,High school diploma (or equivalent),NLD,11,25,11
Somewhat difficult,League of Legends,35,1,1,Male,21,Student at college / university,Bachelor (or equivalent),GRC,18,12,9
Not difficult at all,League of Legends,3,1,3,Female,26,Student at college / university,Master (or equivalent),DEU,33,7,1
Not difficult at all,League of Legends,12,1,2,Male,18,Student at school,None,DNK,27,10,1
Not difficult at all,League of Legends,45,1,2,Male,22,Employed,High school diploma (or equivalent),USA,20,10,3
NA,League of Legends,20,1,2,Male,19,Student at college / university,High school diploma (or equivalent),CAN,21,11,0
Not difficult at all,League of Legends,30,1,2,Male,21,Student at college / university,High school diploma (or equivalent),USA,25,10,1
Somewhat difficult,League of Legends,30,1,3,Male,23,Student at college / university,High school diploma (or equivalent),ROU,12,13,14
Somewhat difficult,League of Legends,10,1,1,Male,22,Student at college / university,High school diploma (or equivalent),USA,14,42,13
Not difficult at all,League of Legends,21,1,2,Male,21,Student at college / university,High school diploma (or equivalent),ITA,15,19,3
Not difficult at all,League of Legends,28,1,3,Male,19,Student at college / university,High school diploma (or equivalent),DEU,14,35,5
NA,League of Legends,30,1,3,Male,19,Student at college / university,High school diploma (or equivalent),GBR,19,17,0
Somewhat difficult,League of Legends,20,1,3,Male,21,Student at college / university,Bachelor (or equivalent),FRA,26,37,4
Somewhat difficult,League of Legends,30,1,5,Male,25,Student at college / university,Bachelor (or equivalent),ISR,16,20,19
Extremely difficult,League of Legends,23,1,3,Male,24,Employed,Bachelor (or equivalent),USA,5,14,21
Somewhat difficult,League of Legends,10,1,2,Male,23,Student at college / university,None,NZL,13,36,10
Somewhat difficult,League of Legends,18,0,2,Male,18,Student at school,None,USA,22,44,14
Not difficult at all,League of Legends,15,1,1,Male,20,Student at college / university,High school diploma (or equivalent),GBR,23,17,3
Very difficult,League of Legends,16,1,2,Male,22,Unemployed / between jobs,High school diploma (or equivalent),GBR,13,32,9
Not difficult at all,League of Legends,10,1,2,Male,22,Employed,Bachelor (or equivalent),MEX,35,1,3
Somewhat difficult,League of Legends,35,0,4,Male,18,Student at college / university,High school diploma (or equivalent),DEU,13,35,7
Somewhat difficult,League of Legends,24,1,2,Male,24,Employed,Bachelor (or equivalent),POL,14,33,7
Not difficult at all,League of Legends,10,1,1,Male,22,Student at college / university,High school diploma (or equivalent),USA,22,7,3
Very difficult,League of Legends,11,1,1,Male,18,Unemployed / between jobs,High school diploma (or equivalent),CHE,21,21,15
Not difficult at all,League of Legends,13,1,1,Male,18,Student at school,None,POL,12,13,8
Not difficult at all,League of Legends,15,1,2,Male,21,Employed,Bachelor (or equivalent),GBR,11,3,3
Not difficult at all,League of Legends,15,1,1,Male,18,Student at school,High school diploma (or equivalent),USA,25,31,6
Not difficult at all,League of Legends,20,1,2,Male,24,Employed,Bachelor (or equivalent),USA,26,37,2
Somewhat difficult,League of Legends,20,1,1,Male,20,Unemployed / between jobs,High school diploma (or equivalent),USA,5,20,3
Not difficult at all,League of Legends,15,1,2,Male,24,Student at college / university,Bachelor (or equivalent),USA,21,13,2
Not difficult at all,League of Legends,2,1,1,Male,20,Student at college / university,Bachelor (or equivalent),NLD,26,1,0
Somewhat difficult,League of Legends,10,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,20,14,8
Not difficult at all,League of Legends,10,1,1,Male,22,Student at college / university,High school diploma (or equivalent),USA,20,1,1
Somewhat difficult,League of Legends,15,1,2,Male,21,Student at college / university,High school diploma (or equivalent),CAN,18,3,8
Not difficult at all,League of Legends,22,1,3,Male,26,Employed,Master (or equivalent),MEX,23,10,5
Somewhat difficult,League of Legends,40,1,2,Male,18,Student at school,None,BRA,24,24,1
Somewhat difficult,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),CHE,18,43,8
Not difficult at all,League of Legends,30,0,3,Male,18,Student at school,High school diploma (or equivalent),USA,26,32,1
Somewhat difficult,League of Legends,20,1,3,Male,18,Student at school,High school diploma (or equivalent),GRC,26,21,11
Very difficult,League of Legends,NA,0,2,Male,27,Employed,High school diploma (or equivalent),CAN,8,38,10
Not difficult at all,League of Legends,30,1,1,Male,22,Unemployed / between jobs,None,USA,10,43,11
Not difficult at all,League of Legends,25,1,1,Male,24,Employed,High school diploma (or equivalent),USA,27,7,0
NA,League of Legends,10,1,2,Male,27,Employed,Bachelor (or equivalent),USA,30,13,0
Somewhat difficult,League of Legends,3,1,2,Female,20,Student at college / university,High school diploma (or equivalent),NZL,21,42,18
Not difficult at all,League of Legends,12,1,1,Male,25,Student at college / university,High school diploma (or equivalent),DEU,24,7,0
Not difficult at all,League of Legends,15,1,5,Male,22,Unemployed / between jobs,High school diploma (or equivalent),KOR,14,9,4
Not difficult at all,League of Legends,40,1,1,Male,28,Unemployed / between jobs,Master (or equivalent),SWE,13,23,0
Very difficult,League of Legends,15,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,8,22,5
Not difficult at all,League of Legends,20,1,1,Male,25,Student at college / university,High school diploma (or equivalent),DNK,21,9,0
Somewhat difficult,League of Legends,20,1,1,Male,20,Student at college / university,High school diploma (or equivalent),GBR,8,13,11
Somewhat difficult,League of Legends,15,0,2,Male,25,Unemployed / between jobs,Bachelor (or equivalent),IRL,7,9,6
NA,League of Legends,15,1,1,Male,20,Student at college / university,High school diploma (or equivalent),USA,18,21,0
Somewhat difficult,League of Legends,14,1,1,Male,19,Student at college / university,High school diploma (or equivalent),FIN,10,21,9
Somewhat difficult,League of Legends,30,1,1,Male,18,Student at college / university,Bachelor (or equivalent),MAR,17,33,10
Somewhat difficult,League of Legends,14,1,1,Male,18,Student at school,None,COL,16,13,10
Somewhat difficult,League of Legends,72,1,3,Male,18,Student at college / university,High school diploma (or equivalent),USA,28,3,2
Not difficult at all,League of Legends,50,1,1,Male,18,Student at school,None,USA,26,30,5
Not difficult at all,League of Legends,30,1,3,Male,19,Employed,Master (or equivalent),CHE,20,7,2
Not difficult at all,League of Legends,50,1,2,Male,18,Student at college / university,High school diploma (or equivalent),CAN,25,9,0
Somewhat difficult,League of Legends,15,0,3,Male,18,Student at school,None,DEU,13,39,2
Not difficult at all,League of Legends,30,1,1,Male,21,Student at college / university,High school diploma (or equivalent),DEU,24,1,2
Not difficult at all,League of Legends,30,1,2,Male,18,Student at school,High school diploma (or equivalent),FIN,23,28,2
Not difficult at all,League of Legends,2,1,1,Male,20,Student at college / university,High school diploma (or equivalent),USA,26,5,0
Somewhat difficult,League of Legends,10,1,3,Female,21,Student at college / university,High school diploma (or equivalent),CAN,25,46,8
Not difficult at all,League of Legends,25,1,2,Male,23,Unemployed / between jobs,Bachelor (or equivalent),CAN,13,20,1
Not difficult at all,League of Legends,15,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,9,15,2
Not difficult at all,League of Legends,20,1,2,Male,27,Employed,High school diploma (or equivalent),USA,26,27,2
Not difficult at all,League of Legends,10,1,2,Male,23,Unemployed / between jobs,Bachelor (or equivalent),USA,18,13,2
Somewhat difficult,League of Legends,15,0,2,Male,18,Student at school,None,HRV,6,63,11
Not difficult at all,League of Legends,13,1,2,Male,18,Student at school,High school diploma (or equivalent),USA,21,NA,7
Not difficult at all,League of Legends,20,1,3,Male,19,Student at school,High school diploma (or equivalent),ITA,11,33,4
Extremely difficult,League of Legends,20,1,2,Male,18,Student at school,None,USA,16,NA,16
Somewhat difficult,League of Legends,25,1,1,Male,24,Student at college / university,Master (or equivalent),USA,8,26,8
Not difficult at all,League of Legends,20,1,1,Male,26,Student at college / university,Master (or equivalent),PRT,21,31,4
Not difficult at all,League of Legends,18,1,1,Male,23,Employed,Bachelor (or equivalent),USA,24,33,1
Not difficult at all,League of Legends,25,1,3,Male,21,Student at college / university,High school diploma (or equivalent),ROU,30,10,1
Somewhat difficult,League of Legends,21,1,1,Male,24,Student at college / university,High school diploma (or equivalent),PRT,13,20,6
Somewhat difficult,League of Legends,34,1,2,Male,18,Student at school,None,BGR,19,NA,2
Not difficult at all,League of Legends,30,1,3,Male,19,Student at school,High school diploma (or equivalent),SGP,12,NA,11
Very difficult,League of Legends,16,1,3,Male,21,Employed,High school diploma (or equivalent),USA,12,30,9
Somewhat difficult,League of Legends,20,1,3,Male,18,Student at college / university,None,USA,28,20,10
Not difficult at all,League of Legends,10,1,5,Male,21,Student at college / university,Bachelor (or equivalent),AUT,31,12,5
Not difficult at all,League of Legends,22,1,2,Male,18,Student at school,None,SVN,28,30,1
Not difficult at all,League of Legends,10,0,2,Female,31,Employed,Master (or equivalent),USA,26,2,5
Somewhat difficult,League of Legends,100,1,4,Male,21,Employed,High school diploma (or equivalent),CAN,8,21,10
Not difficult at all,League of Legends,10,1,2,Male,18,Student at college / university,None,USA,19,39,3
Extremely difficult,League of Legends,60,1,1,Male,27,Student at college / university,High school diploma (or equivalent),USA,10,62,21
Not difficult at all,League of Legends,17,1,1,Female,18,Student at school,None,USA,30,20,16
Not difficult at all,League of Legends,10,1,1,Male,22,Student at college / university,High school diploma (or equivalent),DEU,15,5,9
Very difficult,League of Legends,15,1,1,Male,22,Student at college / university,High school diploma (or equivalent),PRT,14,45,8
Very difficult,League of Legends,40,1,1,Male,32,Student at college / university,High school diploma (or equivalent),USA,15,38,12
Not difficult at all,League of Legends,28,1,4,Male,24,Employed,Master (or equivalent),MEX,14,8,5
Not difficult at all,League of Legends,10,1,4,Male,26,Employed,Bachelor (or equivalent),USA,12,23,4
Somewhat difficult,League of Legends,10,0,2,Male,19,Student at college / university,High school diploma (or equivalent),CAN,25,24,4
Not difficult at all,League of Legends,20,1,1,Male,20,Student at college / university,High school diploma (or equivalent),USA,19,12,1
Not difficult at all,League of Legends,10,1,2,Male,21,Student at college / university,High school diploma (or equivalent),USA,8,18,9
Not difficult at all,League of Legends,70,1,1,Male,18,Student at school,None,PRT,23,21,2
Very difficult,League of Legends,20,1,4,Male,19,Student at college / university,High school diploma (or equivalent),ESP,23,26,6
Extremely difficult,League of Legends,15,1,2,Male,30,Student at college / university,"Ph.D., Psy. D., MD (or equivalent)",USA,28,23,10
Not difficult at all,League of Legends,5,1,2,Male,20,Student at college / university,High school diploma (or equivalent),USA,16,27,3
Somewhat difficult,League of Legends,10,1,1,Male,18,Student at school,None,NLD,28,16,7
Somewhat difficult,League of Legends,20,1,2,Male,19,Student at college / university,None,NZL,15,24,6
Not difficult at all,League of Legends,30,1,1,Male,19,Employed,High school diploma (or equivalent),PRT,14,39,1
Somewhat difficult,League of Legends,20,1,2,Male,18,Student at school,None,NOR,23,4,3
Somewhat difficult,League of Legends,10,1,3,Male,23,Employed,Bachelor (or equivalent),USA,29,2,2
Somewhat difficult,League of Legends,NA,0,4,Male,23,Student at college / university,Master (or equivalent),CAN,19,19,5
Not difficult at all,League of Legends,20,1,1,Male,22,Student at college / university,High school diploma (or equivalent),SAU,25,11,1
Somewhat difficult,League of Legends,30,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,29,NA,3
Somewhat difficult,League of Legends,30,1,2,Male,18,Student at school,High school diploma (or equivalent),GBR,19,38,5
Somewhat difficult,League of Legends,30,1,3,Male,19,Student at college / university,High school diploma (or equivalent),SWE,12,42,11
Not difficult at all,League of Legends,35,0,1,Female,25,Student at college / university,High school diploma (or equivalent),DEU,27,4,0
Somewhat difficult,League of Legends,14,1,1,Male,22,Student at college / university,Bachelor (or equivalent),USA,29,NA,4
Not difficult at all,League of Legends,8,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,14,11,9
Somewhat difficult,League of Legends,5,1,1,Male,24,Unemployed / between jobs,None,IRL,23,33,8
Somewhat difficult,League of Legends,20,1,3,Male,18,Student at school,High school diploma (or equivalent),HRV,20,15,5
Very difficult,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,10,24,3
Somewhat difficult,League of Legends,20,1,1,Male,26,Employed,High school diploma (or equivalent),POL,16,32,7
Not difficult at all,League of Legends,10,0,1,Male,19,Employed,High school diploma (or equivalent),ITA,25,5,0
Not difficult at all,League of Legends,15,1,1,Male,23,Employed,Bachelor (or equivalent),USA,20,12,1
Very difficult,League of Legends,75,1,2,Male,23,Unemployed / between jobs,High school diploma (or equivalent),DEU,8,54,15
Not difficult at all,League of Legends,20,1,1,Female,24,Unemployed / between jobs,High school diploma (or equivalent),USA,31,27,2
Somewhat difficult,League of Legends,15,1,3,Male,24,Employed,Bachelor (or equivalent),CAN,20,3,6
Somewhat difficult,League of Legends,7,1,3,Male,18,Student at school,None,IRL,11,22,3
Not difficult at all,League of Legends,20,1,2,Male,20,Student at college / university,High school diploma (or equivalent),CAN,18,44,0
Not difficult at all,League of Legends,20,1,3,Male,20,Student at college / university,High school diploma (or equivalent),USA,20,18,3
Somewhat difficult,League of Legends,16,1,2,Male,22,Student at college / university,High school diploma (or equivalent),SRB,11,22,7
Not difficult at all,League of Legends,18,1,4,Male,21,Student at college / university,High school diploma (or equivalent),DEU,24,4,2
Somewhat difficult,League of Legends,15,1,2,Male,22,Student at college / university,Bachelor (or equivalent),DEU,18,11,6
Somewhat difficult,League of Legends,12,1,3,Male,25,Student at college / university,Bachelor (or equivalent),USA,9,37,5
Somewhat difficult,League of Legends,7,1,4,Male,29,Employed,Bachelor (or equivalent),BOL,24,46,7
Not difficult at all,League of Legends,20,1,3,Male,19,Student at college / university,High school diploma (or equivalent),NA,26,NA,6
Somewhat difficult,League of Legends,24,1,2,Male,18,Student at college / university,None,USA,20,39,4
Somewhat difficult,League of Legends,49,1,2,Male,18,Student at school,None,CAN,17,50,10
Not difficult at all,League of Legends,60,1,2,Male,19,Student at college / university,High school diploma (or equivalent),DEU,12,22,2
Not difficult at all,League of Legends,12,1,2,Male,18,Student at school,None,GBR,28,41,3
Very difficult,League of Legends,20,1,3,Male,18,Student at school,High school diploma (or equivalent),DEU,19,36,10
NA,League of Legends,20,1,1,Male,22,Employed,Bachelor (or equivalent),USA,29,9,0
Not difficult at all,League of Legends,18,1,3,Male,18,Student at college / university,High school diploma (or equivalent),AUS,25,24,3
Somewhat difficult,League of Legends,40,1,3,Male,19,Student at school,High school diploma (or equivalent),USA,22,19,4
Not difficult at all,League of Legends,80,1,3,Male,24,Student at college / university,High school diploma (or equivalent),USA,19,5,0
Very difficult,League of Legends,30,1,2,Male,21,Student at college / university,High school diploma (or equivalent),DEU,9,27,8
Very difficult,League of Legends,20,1,4,Male,20,Student at college / university,Bachelor (or equivalent),GBR,12,21,12
Very difficult,League of Legends,12,1,4,Male,20,Student at college / university,Bachelor (or equivalent),USA,32,46,21
Not difficult at all,League of Legends,28,0,1,Male,26,Employed,High school diploma (or equivalent),USA,26,8,1
Somewhat difficult,League of Legends,28,1,3,Female,20,Unemployed / between jobs,Bachelor (or equivalent),ARG,13,24,14
Not difficult at all,League of Legends,15,1,1,Male,22,Employed,High school diploma (or equivalent),USA,23,11,12
Not difficult at all,League of Legends,5,0,1,Female,26,Employed,Master (or equivalent),CAN,27,50,2
Not difficult at all,League of Legends,15,1,2,Male,21,Student at college / university,High school diploma (or equivalent),USA,28,37,6
Very difficult,League of Legends,12,1,3,Male,18,Unemployed / between jobs,None,GBR,7,45,7
Somewhat difficult,League of Legends,20,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,23,3,4
Not difficult at all,League of Legends,25,1,3,Male,21,Student at college / university,Bachelor (or equivalent),FRA,19,1,1
Not difficult at all,League of Legends,50,1,1,Male,19,Unemployed / between jobs,High school diploma (or equivalent),DEU,20,25,4
Somewhat difficult,League of Legends,25,1,2,Male,23,Student at college / university,Bachelor (or equivalent),MEX,29,9,9
Somewhat difficult,League of Legends,10,1,1,Female,27,Employed,Bachelor (or equivalent),USA,16,12,10
Somewhat difficult,League of Legends,21,1,2,Male,22,Student at college / university,High school diploma (or equivalent),USA,17,NA,1
Somewhat difficult,League of Legends,10,1,3,Male,20,Student at college / university,High school diploma (or equivalent),USA,21,NA,5
Not difficult at all,League of Legends,14,1,1,Male,23,Unemployed / between jobs,Bachelor (or equivalent),BEL,15,20,7
Not difficult at all,League of Legends,20,1,1,Male,18,Student at school,High school diploma (or equivalent),DEU,28,41,0
Somewhat difficult,League of Legends,20,1,2,Female,25,Employed,Bachelor (or equivalent),BEL,21,28,13
Somewhat difficult,League of Legends,20,1,3,Male,23,Student at school,None,DNK,11,16,3
Somewhat difficult,League of Legends,20,1,2,Male,21,Student at college / university,High school diploma (or equivalent),DEU,21,39,9
Not difficult at all,League of Legends,20,1,1,Male,21,Employed,Bachelor (or equivalent),USA,12,0,3
Somewhat difficult,League of Legends,12,1,3,Male,19,Student at college / university,Bachelor (or equivalent),ESP,13,34,10
Not difficult at all,League of Legends,5,1,2,Male,20,Student at college / university,High school diploma (or equivalent),DNK,25,16,1
Not difficult at all,League of Legends,10,1,1,Male,24,Employed,"Ph.D., Psy. D., MD (or equivalent)",USA,26,8,1
NA,League of Legends,25,1,4,Male,18,Student at college / university,High school diploma (or equivalent),CHL,23,13,0
Somewhat difficult,League of Legends,10,1,2,Male,21,Student at college / university,High school diploma (or equivalent),USA,24,26,3
Somewhat difficult,League of Legends,21,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,25,39,6
Not difficult at all,League of Legends,10,1,1,Male,27,Employed,Bachelor (or equivalent),USA,34,5,1
Not difficult at all,League of Legends,28,1,5,Male,20,Student at college / university,Bachelor (or equivalent),FRA,15,3,2
NA,League of Legends,20,1,1,Male,26,Unemployed / between jobs,Bachelor (or equivalent),SWE,14,0,0
Not difficult at all,League of Legends,15,1,4,Female,21,Student at college / university,High school diploma (or equivalent),POL,15,26,3
Somewhat difficult,League of Legends,5,1,1,Female,19,Student at college / university,None,GRC,13,16,2
Not difficult at all,League of Legends,20,1,1,Male,21,Student at college / university,High school diploma (or equivalent),DEU,26,19,3
Somewhat difficult,League of Legends,28,1,5,Male,19,Student at school,High school diploma (or equivalent),BEL,21,1,7
Somewhat difficult,League of Legends,14,1,1,Male,23,Unemployed / between jobs,High school diploma (or equivalent),NOR,11,34,10
Somewhat difficult,League of Legends,14,1,3,Male,19,Student at school,None,CAN,19,19,7
Not difficult at all,League of Legends,20,1,1,Male,18,Student at college / university,High school diploma (or equivalent),CHE,24,22,4
NA,League of Legends,10,1,2,Male,21,Student at college / university,Bachelor (or equivalent),USA,27,5,0
Somewhat difficult,League of Legends,22,1,2,Male,18,Student at school,High school diploma (or equivalent),NOR,25,20,3
Not difficult at all,League of Legends,40,1,1,Female,20,Student at college / university,High school diploma (or equivalent),USA,28,7,13
Somewhat difficult,League of Legends,30,1,1,Male,20,Student at college / university,High school diploma (or equivalent),BRA,17,3,13
Not difficult at all,League of Legends,8,1,3,Male,18,Student at school,None,HUN,14,12,8
Very difficult,League of Legends,20,1,1,Male,20,Student at college / university,High school diploma (or equivalent),CAN,25,32,7
NA,League of Legends,21,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,24,22,1
NA,League of Legends,9,1,3,Male,20,Student at college / university,None,NOR,22,32,0
Somewhat difficult,League of Legends,40,1,1,Male,21,Employed,High school diploma (or equivalent),ARG,21,28,6
Not difficult at all,League of Legends,10,1,2,Male,34,Employed,Bachelor (or equivalent),DEU,12,11,0
Somewhat difficult,League of Legends,70,1,2,Male,19,Unemployed / between jobs,High school diploma (or equivalent),CAN,24,9,13
Somewhat difficult,League of Legends,10,1,3,Male,18,Student at school,High school diploma (or equivalent),USA,15,27,1
Somewhat difficult,League of Legends,14,1,3,Male,22,Student at college / university,High school diploma (or equivalent),CAN,19,28,10
Somewhat difficult,League of Legends,8,1,4,Male,21,Student at college / university,High school diploma (or equivalent),GBR,27,7,5
Not difficult at all,League of Legends,25,1,1,Female,33,Employed,Bachelor (or equivalent),BGR,11,5,2
Very difficult,League of Legends,25,1,3,Male,24,Student at college / university,High school diploma (or equivalent),NOR,8,47,9
Somewhat difficult,League of Legends,28,1,2,Male,18,Student at college / university,High school diploma (or equivalent),USA,15,40,7
Not difficult at all,League of Legends,15,1,1,Male,19,Student at college / university,High school diploma (or equivalent),USA,18,10,0
Not difficult at all,League of Legends,10,1,1,Male,21,Student at college / university,High school diploma (or equivalent),USA,16,NA,0
NA,League of Legends,20,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,15,6,0
Not difficult at all,League of Legends,2,1,1,Male,21,Student at college / university,High school diploma (or equivalent),TUR,22,0,0
Very difficult,League of Legends,17,1,4,Female,18,Student at school,None,DEU,11,39,12
Not difficult at all,League of Legends,10,1,1,Male,19,Unemployed / between jobs,High school diploma (or equivalent),FIN,8,17,0
Very difficult,League of Legends,50,1,3,Male,18,Student at school,None,GBR,21,31,12
Very difficult,League of Legends,20,1,2,Male,20,Student at college / university,High school diploma (or equivalent),CAN,12,48,10
Not difficult at all,League of Legends,8,1,1,Male,25,Employed,Bachelor (or equivalent),ARG,19,6,1
NA,League of Legends,15,1,1,Male,19,Student at school,High school diploma (or equivalent),CAN,26,4,0
Not difficult at all,League of Legends,17,1,2,Male,19,Student at college / university,High school diploma (or equivalent),CAN,26,4,0
Not difficult at all,League of Legends,30,1,4,Male,18,Student at college / university,None,GBR,20,4,2
Somewhat difficult,League of Legends,30,1,1,Male,18,Student at school,None,FIN,28,26,4
Very difficult,League of Legends,5,1,3,Male,18,Student at school,High school diploma (or equivalent),ESP,12,33,10
Somewhat difficult,League of Legends,22,1,1,Male,19,Student at college / university,High school diploma (or equivalent),CAN,15,39,19
Not difficult at all,League of Legends,20,1,1,Male,18,Student at school,High school diploma (or equivalent),USA,19,30,2
Not difficult at all,League of Legends,20,1,1,Male,19,Student at college / university,None,GBR,13,11,5
